country,country_code,event_id,event_name,law_or_regulation_code,announcement_date,effective_date,search_category,affected_population_size,affected_population_type,user_problem_description,source_url
Kenya,KE,KE-EVT-017,National Construction Authority (NCA) Renewal 2026,National Construction Authority Act 2011,2024-01-01,2026-01-01,licensing,"120,000",Building Contractors,Renewing annual NCA contractor practice license and registering new construction projects.,https://nca.go.ke
Kenya,KE,KE-EVT-018,Excise Duty Rate Adjustments on Mobile Money (M-Pesa) 2026,Excise Duty Act 2015 / KRA Tariff Notice,2024-07-01,2026-01-01,banking/payments,"35,000,000",Mobile Money Users,Calculating 15% excise duty levied on mobile money transfer transaction fees.,https://www.kra.go.ke
Kenya,KE,KE-EVT-019,Voluntary Tax Disclosure Programme (VTDP) Amnesty 2026,Tax Procedures Act Sec 37N,2024-01-01,2026-06-30,tax,"500,000",Non-compliant Taxpayers,Submitting voluntary disclosure of unpaid taxes to obtain 100% penalty and interest waiver.,https://itax.kra.go.ke
Kenya,KE,KE-EVT-020,National Environment Management Authority (NEMA) EIA Audit 2026,Environmental Management and Co-ordination Act,2024-01-01,2026-01-01,mandatory registration,"90,000",Industrial & Real Estate Developers,Submitting annual Environmental Impact Assessment (EIA) audit report on NEMA portal.,https://www.nema.go.ke
Morocco,MA,MA-EVT-001,Réforme de l'Impôt sur le Revenu (IR) LF 2025/2026,Loi de Finances 2025 / 2026,2024-12-25,2026-01-01,income tax,"7,000,000",Salaried Employees & Auto-Entrepreneurs,"Calculating net monthly salary under new progressive IR brackets (40.000 MAD exempt limit, max 37%).",https://www.finances.gov.ma
Morocco,MA,MA-EVT-002,"Réforme Progressive de la TVA 2024-2026 (0%, 10%, 20%)",Loi de Finances 2024-2026,2023-12-28,2026-01-01,VAT,"1,200,000",SMEs & Merchants,Looking up updated VAT rate classification for consumer goods and services.,https://www.tax.gov.ma
Morocco,MA,MA-EVT-003,Auto-Entrepreneur Maroc — Cotisation CNSS & Impôt 1%-2%,Loi 114-13 / Décret CNSS 2025,2024-01-01,2026-01-01,SME reporting,"400,000",Auto-Entrepreneurs,Calculating quarterly CNSS healthcare contributions and tax liability on turnover.,https://www.autoentrepreneur.ma
Morocco,MA,MA-EVT-004,Vignette Automobile 2026 Tarifs DGI & TGR,Code Général des Impôts Art. 262,2025-12-15,2026-01-01,vehicle,"4,500,000",Car Owners,Calculating annual vehicle tax by fiscal horsepower (CV) and fuel type (Gasoline vs Diesel).,https://www.vignette.ma
Morocco,MA,MA-EVT-005,Registre Social Unifié (RSU) Indice Digital & Aide Directe,Loi 72-18 / Registre Social Unifié,2023-01-01,2026-01-01,benefits,"12,000,000",Low-Income Households,Consulting digital score eligibility threshold for monthly cash transfer payments.,https://www.rsu.ma
Morocco,MA,MA-EVT-006,AMO Tadamon & Généralisation CNSS Santé 2026,Loi 09-21 / Décret CNSS 2024,2024-01-01,2026-01-01,benefits,"22,000,000",Independent Workers & Vulnerable Citizens,Verifying healthcare coverage rights and medical reimbursement track on CNSS portal.,https://www.macnss.ma
Morocco,MA,MA-EVT-007,SIMPL DGI Télé-déclaration Obligation IR/IS/TVA 2026,CGI Art 155,2024-01-01,2026-01-01,e-invoicing,"1,500,000",Businesses & Liberal Professions,Submitting mandatory digital tax returns on DGI SIMPL portal.,https://simpl-recherche.tax.gov.ma
Morocco,MA,MA-EVT-008,Carte Nationale d'Identité Électronique CNIE 2.0 Rendez-vous,Loi 04-20 / DGSN,2024-01-01,2026-01-01,digital identity,"30,000,000",General Population,Booking online renewal appointment on MonIdEntite.ma and tracking biometric card status.,https://www.cnie.ma
Morocco,MA,MA-EVT-009,Permis à Points & Mutation Carte Grise NARSA 2026,Loi 52-05 / NARSA Khadamat,2024-01-01,2026-01-01,licensing,"6,000,000",Drivers & Car Buyers,Checking driver point balance and initiating vehicle title transfer on NARSA portal.,https://khadamat.narsa.gov.ma
Morocco,MA,MA-EVT-010,Taxe Professionnelle (Patente) & TSC DGI Recouvrement 2026,Loi 47-06 relative à la fiscalité des collectivités,2025-12-01,2026-01-01,property,"1,000,000",Commercial Premises & Business Owners,Calculating business license tax based on rental value of commercial property.,https://www.tgr.gov.ma
Morocco,MA,MA-EVT-011,Calcul Cotisation Retraite CIMR & CNSS Damancom 2026,Règlement Général CIMR / Damancom,2024-01-01,2026-01-01,pensions,"3,500,000",Private Sector Employees,Estimating monthly pension payout points based on CIMR contribution scale.,https://www.cimr.ma
Morocco,MA,MA-EVT-012,Douane Maroc E-commerce Importation Droits et Taxes 2026,Code des Douanes Art 190 / ADII,2024-01-01,2026-01-01,customs/import,"2,000,000",Online Shoppers & Cross-border Buyers,Calculating import duties and 20% VAT on international parcel deliveries.,https://www.douane.gov.ma
Morocco,MA,MA-EVT-013,Impôt sur les Sociétés (IS) Convergence des Taux LF 2026,CGI Art 19 (LF 2023-2026),2022-12-29,2026-01-01,tax,"500,000",Corporations,Applying unified IS rate (20% standard / 35% high margin companies).,https://www.tax.gov.ma
Morocco,MA,MA-EVT-014,Retenue à la Source (RAS) Honoraires Prestations 2026,CGI Art 157,2024-01-01,2026-01-01,tax,"600,000",Consultants & Freelancers,Calculating 75% RAS credit deduction on gross service fee invoices.,https://www.tax.gov.ma
Morocco,MA,MA-EVT-015,Exonération IR Jeunes Recrues Premier Emploi 2026,Loi de Finances Art 6 (Ex-CGI),2024-01-01,2026-01-01,payroll,"250,000",Young Graduates & Employers,Filing for 36-month IR tax exemption for new CDI hires under 35 years old.,https://www.anapex.ma
Morocco,MA,MA-EVT-016,ANCFCC Conservation Foncière Extrait Cadastral 2026,Loi 14-07 Foncière / ANCFCC,2024-01-01,2026-01-01,property,"1,800,000",Real Estate Buyers,Ordering online title deed certificate (Certificat de Propriété) via ANCFCC portal.,https://www.ancfcc.gov.ma
Morocco,MA,MA-EVT-017,Passeport Biométrique Marocain Demande Passeport.ma 2026,Décret Passeports Biométriques 2024,2024-01-01,2026-01-01,immigration,"1,500,000",Citizens,Paying 500 MAD electronic timbre and generating passport application form.,https://www.passeport.ma
Morocco,MA,MA-EVT-018,Autorisation de Construire Rokhas.ma Permis d'Habiter 2026,Décret Urbanisme Rokhas,2024-01-01,2026-01-01,property,"400,000",Property Developers & Home Builders,Tracking building permit approval and habitation certificate issuance on Rokhas.,https://www.rokhas.ma
Morocco,MA,MA-EVT-019,Reprise Spontanée Office des Changes Avoirs Étranger 2026,Circular Office des Changes 2025,2025-01-01,2026-12-31,banking/payments,"80,000",Moroccan Residents with Foreign Assets,Filing voluntary disclosure levy on foreign liquid bank accounts and real estate.,https://www.oc.gov.ma
Morocco,MA,MA-EVT-020,Paiement Taxe d'Habitation TGR en Ligne 2026,CGI Art 249 / TGR,2025-12-01,2026-01-01,property,"3,200,000",Residential Homeowners,Consulting tax notice (Avis d'Imposition) and paying primary residence tax online.,https://www.tgr.gov.ma
